Player ID,Wins,Win Rate,Stack Start,Stack End,Mean Stack,Std Stack,Max Drawdown
1,10846,0.55,2472.5,1800.5,1878.26,364.85,1999.5
0,7603,0.38,27.5,699.5,562.74,264.96,458.0
2,1321,0.07,500.0,2.0,263.15,163.36,1066.0
